occurrences,term
3609,one of the
1698,as well as
1657,some of the
1652,the end of
1646,out of the
1537,be able to
1421,the fact that
1336,the rest of
1259,part of the
1227,going to be
1171,one of my
1141,this is the
1033,in order to
1014,end of the
1000,you want to
990,if you are
985,all of the
978,it would be
940,most of the
938,there is no
923,at the end
917,the first time
903,in the world
864,is one of
860,back to the
851,you have to
820,rest of the
794,was going to
778,in front of
742,to do with
736,to be the
731,one of those
720,is going to
715,and it was
708,it is not
695,if you have
695,as much as
672,it is the
654,at the same
652,of the most
649,for the first
644,to go to
643,it will be
641,in the middle
641,at the time
633,that it is
624,would like to
616,the united states
613,that it was
608,the same time
607,it was the
595,if you want
595,you need to
589,want to be
585,you can see
583,for me to
578,of the world
578,have to be
573,on the other
568,in the past
568,to see the
551,to make it
548,when it comes
547,the middle of
547,in the first
541,but it was
540,side of the
530,are going to
530,but it is
526,it has been
522,in the same
513,to say that
512,it comes to
512,and it is
510,would have been
510,because of the
510,to make the
509,of the day
505,need to be
502,to get the
495,and of course
494,as soon as
494,as long as
492,in my life
483,was able to
482,there will be
478,look at the
477,seems to be
475,not going to
474,the top of
471,to be able
467,this is not
467,if you re
457,to make sure
456,we need to
450,all the time
449,up in the
449,in the morning
448,at this point
445,of the year
444,in the end
443,up to the
443,was one of
436,what do you
436,to do it
434,the idea of
429,go to the
427,looking forward to
423,and in the
422,of my favorite
421,according to the
421,on top of
419,many of the
418,am going to
416,that there is
414,by the time
411,and if you
411,top of the
410,of the time
408,it in the
408,to be in
407,the back of
402,as far as
399,that you can
398,to see what
395,all over the
389,one of them
388,there was no
387,in terms of
386,do you think
384,we have to
384,of all the
382,that they are
381,of the best
380,some of my
375,have to do
374,the name of
372,at the moment
372,of my life
370,it can be
368,the beginning of
368,in love with
368,is in the
366,in the last
364,away from the
363,that would be
358,it to the
357,will have to
356,dont want to
356,that this is
355,back in the
354,in addition to
353,this is what
352,that he was
349,as it is
348,thank you for
347,have to say
347,and this is
346,supposed to be
346,as you can
346,as part of
346,was in the
343,the number of
343,the bottom of
342,the opportunity to
342,to see if
341,is not the
337,to get to
336,is that the
336,come up with
336,for the next
335,im going to
335,needs to be
335,to look at
334,went to the
332,over the years
332,to find out
332,don want to
331,no matter how
330,front of the
329,seem to be
329,out of my
328,will not be
327,but if you
327,in the future
327,the story of
326,if you can
326,the other side
324,any of the
324,be sure to
323,and that is
323,due to the
320,the time to
320,that we are
319,to do so
319,by the way
318,over and over
317,that there are
317,the next day
316,more and more
316,the kind of
315,to deal with
314,all of this
314,all the way
313,to do this
313,how do you
311,out in the
310,let me know
309,of the book
305,of the first
305,that is the
305,you know what
304,to try to
303,has to be
300,go back to
299,the other day
298,you will be
297,down to the
295,there are many
295,the other hand
292,to figure out
292,and you can
291,middle of the
291,in the way
290,to do the
289,with all the
289,had to be
289,want to do
287,we have been
286,may not be
286,of the other
286,they are not
286,for those who
284,going to have
284,the use of
281,at the top
279,up with the
279,it was just
279,here are some
279,up on the
279,in other words
279,those of you
278,on the way
278,trying to get
278,that you are
278,have no idea
277,being able to
277,and all the
276,or at least
276,we will be
275,some sort of
275,out to be
274,so you can
274,in this case
273,the only thing
273,to think about
273,we went to
272,this is my
272,look forward to
271,there are some
271,what it is
270,to tell you
270,here is the
269,the power of
269,been able to
268,so if you
267,in new york
267,is the first
266,do you have
266,because it is
266,all of us
266,we had to
266,know how to
265,that we have
265,in the next
265,the last few
265,it was so
265,to the point
265,well as the
265,for some reason
264,you can find
264,the same way
263,of the people
263,of the things
263,for those of
262,over the past
261,in one of
261,the people who
260,one of these
260,on the floor
259,of the new
259,this was the
258,to take the
258,for the rest
258,the ability to
257,members of the
257,take care of
257,for the last
257,little bit of
257,in the house
256,to see how
256,not to mention
256,along the way
254,to me that
254,there are no
254,you know that
253,and they are
253,the most important
253,was the first
253,were going to
252,to do is
251,we want to
251,to try and
250,the age of
249,to me and
249,would have to
249,to go back
249,do not have
249,what to do
248,that can be
248,you can get
247,can wait to
247,used to be
247,on the back
247,to work on
247,based on the
246,that will be
246,me in the
246,would love to
246,will be the
245,and will be
245,the first place
244,is the most
244,to have to
244,it to be
244,and there are
244,it was not
244,is the only
243,that he is
242,along with the
242,if you don
242,in the process
242,around the world
242,all of them
241,the way to
241,over the last
241,of course the
241,when you are
241,but in the
240,much of the
239,because it was
239,the amount of
239,that you have
238,thought it was
238,this is one
238,the same thing
237,the point of
236,bottom of the
236,no matter what
236,to talk about
236,the majority of
236,for the past
236,be in the
236,for the most
236,is that it
236,are in the
236,if you dont
235,feel free to
235,of you who
235,that is not
234,and there is
234,some kind of
234,in the uk
233,it is to
233,to use the
233,for me and
232,to do something
232,in my head
231,the lack of
231,that they were
231,to have the
231,in my opinion
231,is the best
231,the world and
231,to find the
231,not to be
230,is to be
229,the only one
229,to share with
229,it should be
229,if you do
229,at least one
228,going to get
228,the university of
228,to pick up
228,the new york
227,by the end
227,the world of
227,that have been
226,such as the
225,if you like
225,and the other
225,at some point
224,one of our
223,when he was
223,the course of
223,part of my
223,for all of
223,of the story
222,of the way
222,but they are
222,just have to
222,and we are
222,whether or not
222,in the air
221,to know that
221,the side of
221,couple of weeks
221,people in the
220,on to the
220,the process of
219,in the back
219,to keep the
219,that has been
219,the things that
219,at the beginning
219,check out the
218,to be honest
218,going to do
217,the time of
217,want to know
217,to get my
216,to get out
216,to listen to
216,but this is
216,all of you
216,that there was
215,there are so
215,it would have
215,it could be
215,for long time
215,to be an
214,in the face
214,it on the
214,the one who
214,be part of
214,them in the
213,told me that
213,half of the
213,you are not
213,that was the
212,it looks like
212,if it is
212,to work with
212,wanted to be
212,and have been
212,all of my
212,are so many
212,would be the
212,the last time
212,for all the
211,don have to
211,we are not
210,in the book
210,the past few
210,this is an
210,could have been
210,so much more
210,get out of
210,all of these
209,member of the
209,of the week
209,want to see
209,make sure you
208,to do that
208,those who are
208,the size of
208,it is also
208,get to the
207,and then the
207,the best of
207,to know what
206,because they are
206,of the house
205,it was time
205,have to go
205,as it was
205,of the same
205,it was an
204,the heart of
204,to the next
204,for you to
204,out on the
204,in the united
203,im not sure
203,of the night
203,and lots of
203,want to go
202,that she was
202,you can do
202,share with you
202,dont have to
202,the right to
202,some of them
202,to have been
202,not want to
201,is on the
201,the edge of
201,to get back
201,and one of
201,the most part
201,came up with
200,to be more
200,of one of
200,wanted to do
200,can see the
200,the face of
200,you do not
199,it may be
199,in my mind
199,the history of
199,they will be
199,on how to
199,all sorts of
199,was supposed to
198,these are the
198,and he was
198,in the early
198,if it was
198,they want to
198,in the meantime
198,back of the
197,think about it
197,in the car
197,over to the
196,will be able
196,all kinds of
196,and so on
196,it turned out
196,to talk to
196,the start of
196,on the road
195,back into the
195,had no idea
195,it is very
195,we are all
195,was trying to
194,able to get
194,new york city
194,out to the
194,even if it
194,but there is
193,didn want to
193,to say the
193,to get it
193,for us to
192,in the new
192,at the bottom
192,as one of
192,what kind of
192,couple of days
191,get back to
190,what is the
190,on the ground
190,most of us
190,that he had
189,it seems to
189,the need to
189,black and white
189,way to the
189,it is so
189,so it was
188,to be on
188,be on the
188,it was very
188,to all of
188,nothing to do
188,that we can
187,we decided to
187,parts of the
187,going to the
187,here are the
187,one of his
187,for them to
187,do you know
187,the importance of
187,at one point
186,the chance to
186,need to do
186,it might be
186,is part of
186,known as the
185,this kind of
185,it seems that
185,to each other
185,there is nothing
184,that in the
184,that it would
184,that kind of
184,the form of
184,the center of
184,be one of
184,it hard to
183,that is what
183,and for the
183,the midst of
183,in the midst
183,on the right
182,want to get
182,this will be
182,not sure if
182,the next few
182,and out of
182,lot of people
181,the world is
181,but there are
181,it was really
181,need to get
180,needless to say
180,thought it would
180,tell you that
180,you can also
180,when it was
179,in the us
179,in the kitchen
179,the idea that
179,to get some
179,the way it
179,it was all
179,you would like
