occurrences,term
953,thanks for the follow
536,thanks for the rt
471,thank you for the
389,can wait to see
351,is going to be
339,thank you so much
236,for the first time
231,the rest of the
224,hope to see you
224,the end of the
208,if you want to
198,thanks so much for
187,it going to be
183,one of the best
181,at the end of
180,let me know if
180,are you going to
176,on my way to
175,thanks for the ff
168,thanks for the mention
168,at the same time
159,so much for the
152,looking forward to the
149,what do you think
148,for the shout out
145,that awkward moment when
142,thanks for the shout
140,is one of the
137,one of my favorite
135,thank you for your
135,looking forward to seeing
133,hope all is well
128,what are you doing
124,looking forward to it
123,me know if you
122,love you so much
120,you re going to
119,wait to see you
114,when it comes to
113,you so much for
111,to go to the
111,in the middle of
110,thank you for following
105,nice to meet you
104,we re going to
104,for the rest of
103,thanks for following me
102,forward to seeing you
102,can wait for the
102,let us know if
101,happy mothers day to
101,happy mother day to
101,want to go to
99,on the way to
98,to be able to
97,would love to see
93,if you re not
93,awkward moment when you
92,you for the follow
92,can wait to get
91,did you know that
90,to be part of
90,the best way to
89,thanks for all the
89,do you want to
87,thanks for the retweet
87,let me know when
86,one of the most
81,keep up the good
81,what is your favorite
80,this is going to
79,you please follow me
79,would you like to
79,you don have to
79,know what you think
78,thanks to everyone who
78,thanks for the support
78,makes me want to
76,up the good work
76,can wait to hear
75,we look forward to
74,thank you to all
73,so proud of you
73,we are going to
72,thank you very much
71,ass ass ass ass
71,great to see you
71,the first time in
70,looking forward to your
70,day to all the
70,trying to figure out
69,going to have to
69,have to go to
69,to check it out
69,to see you there
69,let me know what
68,you can do it
68,us know if you
67,let us know what
67,you want to be
67,going to be great
66,great to meet you
66,to get out of
65,how have you been
65,you don want to
65,as long as you
65,know what to do
64,you for the rt
64,happy birthday to my
64,end of the day
63,thanks to all who
63,look forward to seeing
63,hope you have great
63,mother day to all
62,the only one who
62,by the end of
62,do you have any
62,if you have any
62,for the kind words
61,are going to be
61,don know how to
60,am the only one
59,thanks for the love
59,to go back to
59,cant wait to see
59,we would love to
59,ll let you know
59,to see you at
59,thank you for all
59,glad you like it
58,is it just me
58,if you re in
58,sorry to hear that
58,have no idea what
58,just got back from
58,to go to bed
58,you are going to
57,good to see you
57,getting ready for the
57,to get back to
57,see you at the
56,to be in the
56,will be at the
56,for the heads up
56,thanks for following us
56,the only way to
56,had so much fun
55,thanks for the rts
55,the middle of the
54,hope you re having
54,it just me or
54,why is it that
54,what do you do
53,wait to see the
53,and thank you for
53,don know what to
53,figure out how to
52,you know you re
52,for chance to win
52,going to be the
52,us know what you
52,the rest of my
51,tip of the day
51,wait to see what
51,you re the best
51,back in the day
51,fall in love with
51,stuck in my head
51,not being able to
51,love to see you
51,how are you doing
50,to talk to you
50,glad you liked it
50,you want me to
50,in front of me
50,really looking forward to
49,forward to your tweets
49,thanks for the heads
49,to all of our
49,there are so many
49,to everyone who came
49,the last day of
48,so excited to see
48,have no idea how
48,quote of the day
48,thank you for sharing
47,one of those days
47,love to have you
47,shout out to my
47,going to be in
47,to see you on
47,would love to hear
47,glad to hear it
47,thanks for the kind
46,mean the world to
46,you have no idea
46,you are the best
46,thank you for being
46,the rest of your
46,its going to be
46,should be able to
45,to go to school
45,do you have to
45,can you follow me
45,you have to be
45,know what that means
45,me know when you
45,that moment when you
45,hope you had great
45,the first day of
45,is one of my
44,everyone who came out
44,hi hi hi hi
44,mothers day to all
44,if you re interested
44,not the only one
44,the only thing that
44,you can make it
44,to check out the
44,to hear from you
44,we can wait to
44,to be one of
44,we ll see you
44,the world to me
43,it was great to
43,so much to do
43,so far so good
43,and thanks for the
43,thanks for the tweet
43,happy birthday to the
43,at the top of
43,if you re going
43,let me know how
42,what do you mean
42,what did you think
42,to be on the
42,be one of the
42,for the follow and
42,just wanted to say
42,much for the rt
42,on our way to
42,was one of the
41,be sure to check
41,would mean the world
41,was going to be
41,just let me know
41,thanks to all the
41,just in time for
41,in love with you
41,thanks for the tip
40,thanks for your support
40,it would mean the
40,thanks for the shoutout
40,keep up the great
40,the shit out of
40,know if you need
40,just finished mi run
40,no such thing as
40,make it to the
40,please follow me back
40,you just have to
40,do you know what
40,would like to thank
40,finished mi run with
40,me know what you
40,thanks for the great
40,hey thanks for the
40,shut the fuck up
40,today is the day
40,sure to check out
40,thank you thank you
40,to go to sleep
39,we need to get
39,go back to sleep
39,what do you want
39,for the follow back
39,this is gonna be
39,you would like to
39,to catch up on
39,cake cake cake cake
39,nothing to do with
39,need to go to
38,in front of the
38,to get rid of
38,thanks for the info
38,for the follow we
38,you re in the
38,to all of the
38,time for me to
38,way to start the
38,you like to see
38,that would be awesome
38,in the first place
38,the awkward moment when
38,would love to have
38,going to be good
38,nice to see you
38,rt thanks for the
38,to hang out with
37,makes me feel like
37,some of the best
37,ll be sure to
37,are you ready for
37,please let me know
37,who came out to
37,know if you have
37,thanks for coming out
37,thanks for letting me
37,look forward to your
37,good luck with the
37,glad to see you
37,glad you enjoyed it
37,the top of the
37,can wait to be
37,will let you know
36,happy new year to
36,we ll have to
36,are you talking about
36,hope you feel better
36,the only one that
36,and the rest of
36,you re looking for
36,keep an eye out
36,to see you in
36,you need to get
36,to look forward to
36,to meet you too
36,let you know when
36,don want to be
36,rt if you re
35,you ll have to
35,we re excited to
35,can wait to go
35,you re very welcome
35,might be able to
35,is what it is
35,to see you soon
35,up the great work
35,it is going to
35,in the mood for
35,thx for the follow
35,if you would like
35,hope you are well
35,to start the day
35,ll be able to
35,if you like to
35,so so so so
34,much for the follow
34,on this day in
34,hope you are having
34,don even know what
34,check out our new
34,to see you again
34,we hope to see
34,can you please follow
34,are you up to
34,we would like to
34,to take care of
34,the bottom of the
33,did you see the
33,just got out of
33,let us know how
33,what are you up
33,looking forward to meeting
33,dancing with the stars
33,one of the greatest
33,no no no no
33,want to know what
33,you have great day
33,you for the mention
33,what you re doing
33,to my new follower
33,thank you to everyone
33,would like to see
33,for the rt and
33,will be in the
33,follow me love you
33,follow me on twitter
33,will be able to
33,why are you so
33,on the other side
33,for the follow love
33,is the last day
33,able to make it
33,all is well with
33,are you coming to
32,you want to do
32,you and your family
32,what is going on
32,do not want to
32,to catch up with
32,to learn how to
32,the rest of us
32,how was your day
32,just got home from
32,is it me or
32,happy cinco de mayo
32,to work with you
32,are you kidding me
32,you should follow me
32,the one and only
32,rt if you love
32,the best part of
32,day of my life
32,you have to do
32,you want to see
32,to figure out how
31,how many of you
31,in the mood to
31,looking forward to hearing
31,just made my day
31,to get to the
31,one of my favorites
31,woke up this morning
31,to all of you
31,to all who came
31,to go to work
31,one of these days
31,the top of my
31,to let you know
31,shout out to the
31,stay tuned for more
31,we re working on
31,if you don know
31,following me on twitter
31,be part of the
31,this is the best
31,we are looking for
31,we re looking for
31,and this is crazy
31,if you are in
31,to see you too
31,for the ff love
31,the way to the
31,who is going to
